,Country,Age,Income,C,C++,C#,Java,JavaScript,Node.js,Objective-C,PHP,Python,Ruby,SQL,Other (please specify)
986,Serbia,Serbia,Student / Unemployed,False,False,True,True,True,True,False,False,False,False,False,
987,United States,United States,"$80,000 - $100,000",False,False,True,True,True,False,True,False,True,False,True,Scala
988,United Kingdom,United Kingdom,"$20,000 - $40,000",True,False,False,True,False,False,False,False,False,False,False,
989,United Kingdom,United Kingdom,"$40,000 - $60,000",False,False,True,True,False,False,False,False,False,False,True,VB.NET
990,United States,United States,"$60,000 - $80,000",False,False,True,False,True,False,False,False,False,False,True,
991,United Kingdom,United Kingdom,"$60,000 - $80,000",True,True,False,False,False,False,True,False,False,False,False,
992,United States,United States,"$80,000 - $100,000",False,False,True,False,True,False,False,False,False,False,True,
993,Netherlands,Netherlands,"<$20,000",True,True,False,True,True,False,False,True,True,False,True,
994,United States,United States,"$40,000 - $60,000",False,False,True,False,True,False,False,False,False,False,False,
995,Belgium,Belgium,Rather not say,False,False,False,True,False,False,False,False,False,False,False,
996,United States,United States,"$60,000 - $80,000",False,True,False,False,False,False,False,False,True,False,False,
997,Germany,Germany,,False,False,False,False,False,False,False,False,False,False,False,
998,Poland,Poland,"<$20,000",False,False,False,True,True,False,False,True,False,False,False,jQuery
999,United States,United States,"$40,000 - $60,000",False,False,True,False,False,False,False,False,False,False,True,VB.NET
1000,Italy,Italy,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,
1001,Sweden,Sweden,"$60,000 - $80,000",False,False,False,True,True,False,False,False,False,False,False,
1002,Germany,Germany,Rather not say,False,True,False,False,False,False,False,True,False,False,True,
1003,Netherlands,Netherlands,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,php
1004,United Kingdom,United Kingdom,"$60,000 - $80,000",False,False,True,True,False,False,False,False,False,False,True,
1005,Bolivia,Bolivia,"$20,000 - $40,000",False,False,True,True,True,True,False,False,False,False,False,
1006,United Kingdom,United Kingdom,"$40,000 - $60,000",False,False,False,False,True,False,False,True,False,False,False,
1007,United States,United States,Rather not say,True,True,False,False,False,False,False,False,True,False,False,
1008,United States,United States,"$80,000 - $100,000",False,False,True,False,True,False,False,False,False,False,True,
1009,France,France,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,
1010,Lithuania,Lithuania,"$40,000 - $60,000",False,False,False,False,False,False,False,True,True,False,True,
1011,Italy,Italy,"<$20,000",False,False,False,False,True,False,False,True,False,False,True,Delphi
1012,Poland,Poland,"<$20,000",False,False,False,False,True,False,False,False,True,False,True,
1013,United States,United States,"$100,000 - $120,000",False,False,True,False,True,False,False,False,False,False,False,
1014,United Kingdom,United Kingdom,Rather not say,False,False,False,False,True,False,False,True,False,False,True,
1015,Germany,Germany,,False,False,False,False,False,False,False,False,False,False,False,Delphi
1016,Spain,Spain,"$40,000 - $60,000",False,False,False,False,True,True,False,False,True,False,True,
1017,Iceland,Iceland,Rather not say,False,False,True,True,True,False,False,False,False,False,False,
1018,Bangladesh,Bangladesh,"<$20,000",True,False,False,True,False,False,False,False,True,False,False,
1019,United Kingdom,United Kingdom,"$40,000 - $60,000",False,False,False,True,True,False,False,False,False,False,True,
1020,United States,United States,Rather not say,False,False,True,False,False,False,False,False,False,False,True,
1021,Poland,Poland,,False,False,False,False,False,False,False,False,False,False,False,
1022,United Kingdom,United Kingdom,Rather not say,False,False,False,True,True,False,False,False,True,False,True,ABAP
1023,India,India,,False,False,False,False,True,False,False,True,False,False,False,
1024,India,India,"<$20,000",False,False,True,True,True,True,True,True,False,False,True,Elastic Search
1025,Ireland,Ireland,"$80,000 - $100,000",False,False,False,False,True,False,False,False,False,False,True,microstrategy
1026,Egypt,Egypt,Rather not say,False,False,False,False,False,False,False,False,False,False,False,
1027,India,India,Rather not say,False,False,False,True,True,False,False,False,False,False,True,
1028,France,France,"$20,000 - $40,000",False,True,False,False,True,True,False,False,False,False,False,clojure
1029,United Kingdom,United Kingdom,"$40,000 - $60,000",False,False,True,False,True,False,False,False,False,False,True,
1030,India,India,"<$20,000",False,True,False,False,False,False,True,False,False,False,False,
1031,United States,United States,"$80,000 - $100,000",False,False,True,False,False,False,True,False,False,False,True,
1032,Brazil,Brazil,"<$20,000",False,False,True,False,True,False,False,False,False,False,True,
1033,Italy,Italy,,False,False,False,False,False,False,False,False,False,False,False,
1034,India,India,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,
1035,India,India,Rather not say,False,False,True,False,True,False,False,False,False,False,True,
1036,United States,United States,,False,False,False,False,False,False,False,False,False,False,False,
1037,Hungary,Hungary,Rather not say,False,False,False,True,True,False,False,False,False,False,True,Erlang
1038,India,India,"<$20,000",False,False,False,False,True,True,False,False,False,True,True,
1039,Netherlands,Netherlands,"$40,000 - $60,000",False,False,False,True,False,False,False,False,False,False,False,Scala
1040,Netherlands,Netherlands,Rather not say,True,True,True,False,False,False,False,False,False,False,True,
1041,United States,United States,"$40,000 - $60,000",False,False,False,False,False,False,False,False,True,False,True,
1042,United Kingdom,United Kingdom,"$80,000 - $100,000",False,False,False,False,True,False,True,False,False,False,True,VB.Net
1043,Belgium,Belgium,"$20,000 - $40,000",False,False,True,False,True,False,False,False,False,False,True,
1044,Egypt,Egypt,"<$20,000",False,False,True,True,False,False,False,False,True,False,False,
1045,United Kingdom,United Kingdom,"$60,000 - $80,000",False,False,False,True,False,False,False,False,False,False,True,
1046,Sweden,Sweden,,False,False,True,False,True,True,False,False,False,False,True,"SSIS, classic asp, VB"
1047,Brazil,Brazil,"$40,000 - $60,000",False,False,False,False,False,False,False,False,False,False,False,
1048,Ukraine,Ukraine,Rather not say,False,False,False,False,False,False,False,False,False,False,False,
1049,France,France,"$20,000 - $40,000",False,False,True,False,True,False,False,False,False,False,True,
1050,United States,United States,"$80,000 - $100,000",False,False,True,False,True,False,False,False,False,False,True,
1051,Germany,Germany,,False,False,True,True,True,False,False,False,False,False,False,
1052,India,India,"<$20,000",False,False,False,True,True,False,False,False,False,False,False,
1053,Poland,Poland,Student / Unemployed,False,False,True,True,False,False,False,False,False,False,False,Verilog
1054,United States,United States,"$40,000 - $60,000",False,False,False,False,True,False,False,True,False,False,True,
1055,Norway,Norway,"$80,000 - $100,000",False,False,True,False,False,False,False,False,False,False,True,
1056,United Kingdom,United Kingdom,"$60,000 - $80,000",False,False,True,True,True,False,False,False,False,False,False,
1057,United Kingdom,United Kingdom,"$20,000 - $40,000",False,False,True,True,False,False,False,False,False,False,True,
1058,United Kingdom,United Kingdom,"$40,000 - $60,000",False,False,True,False,True,False,False,False,False,False,True,
1059,United States,United States,"$120,000 - $140,000",False,False,False,True,False,False,False,False,False,False,True,Groovy
1060,Spain,Spain,"<$20,000",True,False,True,True,True,False,False,False,True,True,True,
1061,India,India,"<$20,000",False,False,False,True,False,False,False,False,False,False,False,
1062,Romania,Romania,Student / Unemployed,False,True,True,False,True,False,True,True,True,False,False,"Visual Basic, Layla"
1063,Pakistan,Pakistan,Student / Unemployed,False,False,False,True,False,False,False,True,False,False,True,
1064,France,France,,False,True,False,False,False,False,False,False,False,False,False,
1065,United Kingdom,United Kingdom,"$60,000 - $80,000",False,False,True,False,True,False,False,False,False,False,True,VB.NET
1066,Australia,Australia,"$40,000 - $60,000",True,False,False,True,False,False,False,True,True,True,False,
1067,India,India,Rather not say,False,False,False,False,False,False,False,False,False,False,False,
1068,United Kingdom,United Kingdom,"$60,000 - $80,000",True,True,True,True,True,False,False,False,False,False,False,nosql
1069,Germany,Germany,Student / Unemployed,False,False,True,True,True,False,False,True,False,False,True,
1070,Turkey,Turkey,"$20,000 - $40,000",False,False,True,True,True,False,False,False,False,False,True,
1071,Germany,Germany,Rather not say,False,False,False,True,True,True,False,True,True,False,True,"actionscript2, 3"
1072,India,India,"$20,000 - $40,000",False,False,False,True,False,False,False,False,False,False,False,
1073,Russia,Russia,"$80,000 - $100,000",False,False,False,False,False,False,False,False,False,False,False,
1074,Egypt,Egypt,"<$20,000",True,False,False,True,False,False,True,False,True,False,False,"Scala, but still in learning phase"
1075,United Kingdom,United Kingdom,"$40,000 - $60,000",False,False,False,False,True,False,False,False,True,False,False,Bash
1076,South Africa,South Africa,"$20,000 - $40,000",False,False,False,False,True,True,False,True,True,False,False,
1077,United Kingdom,United Kingdom,"$120,000 - $140,000",False,False,True,True,True,False,False,False,False,False,True,
1078,India,India,Rather not say,False,False,False,True,False,False,False,False,False,False,False,
1079,France,France,"$20,000 - $40,000",False,False,False,False,False,False,False,False,True,True,False,
1080,India,India,"<$20,000",False,False,True,False,False,False,False,False,False,False,False,
1081,Poland,Poland,"<$20,000",False,False,True,True,True,False,False,True,True,False,True,
1082,India,India,"$100,000 - $120,000",False,False,False,False,True,True,False,True,False,True,False,
1083,United Kingdom,United Kingdom,Student / Unemployed,False,False,False,True,False,False,False,False,False,False,True,
1084,India,India,"<$20,000",False,False,True,False,False,False,False,False,False,False,True,WPF
1085,Brazil,Brazil,"<$20,000",False,False,False,False,False,False,False,True,True,True,True,
1086,United Kingdom,United Kingdom,Rather not say,False,False,True,False,False,False,False,False,False,False,True,
1087,Malaysia,Malaysia,Rather not say,False,False,False,True,True,False,False,False,False,True,False,
1088,Germany,Germany,Student / Unemployed,True,True,False,False,False,False,False,False,False,False,False,
1089,India,India,Rather not say,False,False,False,False,False,False,False,False,False,True,True,
1090,India,India,,False,False,True,True,True,False,False,False,False,True,False,
1091,Russia,Russia,,False,False,False,False,False,False,False,False,False,False,False,
1092,Italy,Italy,"$20,000 - $40,000",False,False,False,True,True,False,False,True,False,False,True,
1093,France,France,"$40,000 - $60,000",True,False,True,False,False,False,False,False,False,False,False,PowerShell
1094,United Kingdom,United Kingdom,"$100,000 - $120,000",False,False,True,False,True,False,False,False,False,False,False,
1095,France,France,"$20,000 - $40,000",False,False,False,True,True,True,False,False,False,False,True,
1096,United Kingdom,United Kingdom,"$60,000 - $80,000",False,False,False,False,False,False,False,True,True,False,True,
1097,Poland,Poland,"$20,000 - $40,000",False,False,False,True,False,False,False,False,False,False,True,
1098,Japan,Japan,"$100,000 - $120,000",True,False,False,False,False,False,False,False,True,False,True,"RyuQ, Erlang, Guile/Scheme, Haskell"
1099,Spain,Spain,"$20,000 - $40,000",False,False,False,False,True,False,False,False,True,False,False,
1100,France,France,"$20,000 - $40,000",False,False,True,False,True,True,False,True,False,False,True,
1101,United Kingdom,United Kingdom,"$20,000 - $40,000",False,False,True,False,True,False,False,True,False,False,True,
1102,India,India,"<$20,000",False,False,False,False,False,False,False,False,False,False,False,
1103,India,India,"<$20,000",True,True,True,False,True,False,False,False,False,False,True,
1104,India,India,"$40,000 - $60,000",True,True,False,False,False,False,True,False,False,False,True,
1105,Germany,Germany,"$40,000 - $60,000",False,False,False,False,False,False,False,True,False,True,True,
1106,France,France,Rather not say,False,False,False,False,True,False,False,True,False,False,True,
1107,India,India,Rather not say,True,True,False,True,False,False,True,False,False,False,False,
1108,India,India,Rather not say,False,False,False,False,False,False,False,False,False,False,False,
1109,India,India,Rather not say,False,False,True,False,False,False,False,False,False,False,False,VB6
1110,Poland,Poland,"<$20,000",False,False,False,False,True,False,False,True,False,False,True,
1111,South Africa,South Africa,Rather not say,False,False,False,True,True,False,False,False,False,False,False,
1112,Poland,Poland,"<$20,000",False,False,True,True,False,False,False,False,False,False,False,
1113,France,France,"$100,000 - $120,000",False,False,True,False,True,False,True,False,False,False,True,
1114,Spain,Spain,"$80,000 - $100,000",False,False,False,True,True,True,False,False,False,False,True,
1115,United Kingdom,United Kingdom,"$40,000 - $60,000",False,False,False,False,False,False,True,False,False,False,False,Perl
1116,Australia,Australia,Student / Unemployed,True,True,False,True,False,False,False,True,False,False,False,"Perl, CLISP"
1117,Russia,Russia,"$40,000 - $60,000",False,False,False,False,True,False,False,False,False,False,False,
1118,Romania,Romania,"<$20,000",False,False,False,False,True,False,False,False,True,False,False,
1119,Switzerland,Switzerland,"$60,000 - $80,000",False,False,False,True,False,False,False,False,False,False,False,Scala
1120,Denmark,Denmark,"$80,000 - $100,000",False,False,True,True,False,False,False,False,False,False,True,
1121,United Kingdom,United Kingdom,"$60,000 - $80,000",False,False,True,False,True,False,False,False,False,False,True,
1122,Switzerland,Switzerland,">$140,000",False,False,False,True,False,False,False,False,False,False,True,Talend ETL
1123,United States,United States,,False,False,False,True,True,False,False,False,False,False,True,
1124,Poland,Poland,"$20,000 - $40,000",True,True,True,True,True,False,False,False,False,False,True,"Scala, bash"
1125,Pakistan,Pakistan,,True,False,False,False,True,False,False,True,False,False,True,
1126,India,India,"<$20,000",False,False,False,False,True,False,False,True,False,False,True,
1127,Sri Lanka,Sri Lanka,Rather not say,False,False,True,False,False,False,False,False,False,False,True,
1128,New Zealand,New Zealand,,False,False,False,False,True,False,False,False,True,True,True,
1129,United States,United States,"<$20,000",False,True,False,True,False,False,False,True,False,True,True,
1130,Germany,Germany,"$40,000 - $60,000",False,False,False,False,False,False,True,False,False,False,False,
1131,India,India,Rather not say,False,False,False,True,False,False,False,False,False,False,True,
1132,Estonia,Estonia,"$60,000 - $80,000",False,False,False,False,False,False,False,False,False,False,False,
1133,Israel,Israel,"$20,000 - $40,000",False,False,False,False,True,False,False,True,True,False,True,
1134,India,India,Rather not say,False,False,False,True,True,False,False,False,False,False,False,"jquery, xsl, xml"
1135,United Kingdom,United Kingdom,">$140,000",False,False,True,False,True,False,False,False,False,False,True,
1136,Croatia,Croatia,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,
1137,India,India,Rather not say,False,False,True,True,True,False,False,False,False,False,False,
1138,New Zealand,New Zealand,">$140,000",False,True,True,True,True,False,False,False,False,False,True,
1139,Sweden,Sweden,"$60,000 - $80,000",True,True,False,False,True,False,False,True,False,False,False,bash
1140,Germany,Germany,"$100,000 - $120,000",False,False,False,True,False,False,True,True,False,False,True,
1141,Germany,Germany,Rather not say,False,False,False,False,True,False,False,True,True,False,True,Perl
1142,United Kingdom,United Kingdom,"$60,000 - $80,000",False,False,False,False,True,True,False,True,False,False,True,
1143,India,India,"<$20,000",False,False,False,False,True,False,False,False,True,False,False,
1144,Canada,Canada,,True,True,False,False,False,False,False,False,False,False,False,
1145,Singapore,Singapore,"$60,000 - $80,000",False,False,False,True,False,False,True,False,True,False,False,
1146,India,India,"<$20,000",True,True,False,False,False,False,False,False,False,False,False,
1147,Pakistan,Pakistan,"<$20,000",False,True,False,False,True,False,False,False,True,False,False,
1148,Singapore,Singapore,"$20,000 - $40,000",False,False,False,False,True,False,True,True,False,False,True,
1149,India,India,Rather not say,True,True,True,True,True,False,False,True,False,False,True,
1150,Poland,Poland,"$20,000 - $40,000",False,False,False,True,False,False,False,False,True,False,False,
1151,Germany,Germany,Student / Unemployed,False,True,False,True,False,False,False,False,True,False,False,
1152,Argentina,Argentina,,False,False,False,False,False,False,False,False,False,False,False,
1153,Spain,Spain,"$20,000 - $40,000",False,False,False,True,False,False,False,False,False,False,False,
1154,Ukraine,Ukraine,,False,False,False,False,False,False,False,False,False,False,False,
1155,Nepal,Nepal,"<$20,000",True,True,True,False,False,False,False,False,False,False,False,
1156,France,France,"$40,000 - $60,000",False,False,False,False,False,False,False,True,False,False,False,"Go, MongoDB"
1157,Sri Lanka,Sri Lanka,"<$20,000",False,False,True,False,True,False,False,False,False,False,False,
1158,United Kingdom,United Kingdom,"$40,000 - $60,000",True,False,False,False,True,False,False,True,False,False,True,
1159,India,India,"<$20,000",False,False,False,False,False,False,True,False,False,False,False,
1160,Netherlands,Netherlands,Rather not say,False,False,False,True,False,False,False,False,False,False,False,
1161,Australia,Australia,,False,False,False,False,False,False,False,False,False,False,False,
1162,United States,United States,"$80,000 - $100,000",False,False,False,True,True,False,False,True,False,False,True,
1163,Turkey,Turkey,"<$20,000",False,False,True,True,True,False,True,False,False,False,True,
1164,Spain,Spain,"$20,000 - $40,000",True,False,False,False,False,False,False,False,True,False,True,
1165,Ukraine,Ukraine,,False,False,True,False,False,False,False,False,False,False,True,
1166,India,India,"<$20,000",False,False,False,True,False,False,False,False,True,False,True,
1167,India,India,Rather not say,False,False,True,False,False,False,False,False,False,False,True,JQuery
1168,Australia,Australia,Rather not say,False,False,False,False,True,False,False,True,False,False,True,
1169,India,India,"<$20,000",False,True,False,False,True,True,False,False,False,False,True,
1170,Italy,Italy,,False,False,False,False,False,False,False,False,False,False,False,
1171,Malaysia,Malaysia,Rather not say,False,False,False,True,False,False,False,False,False,False,False,
1172,United States,United States,"$60,000 - $80,000",False,False,False,False,True,False,False,True,False,True,True,
1173,Russia,Russia,"<$20,000",False,False,False,True,True,False,False,False,False,False,True,
1174,Argentina,Argentina,,False,False,False,False,False,False,False,False,False,False,False,
1175,Russia,Russia,"$20,000 - $40,000",False,False,True,False,True,False,False,False,False,False,True,
1176,Australia,Australia,"$60,000 - $80,000",False,True,False,False,False,False,False,False,False,False,False,
1177,India,India,"<$20,000",False,False,False,False,True,False,False,True,False,False,False,
1178,United Kingdom,United Kingdom,">$140,000",False,False,True,False,False,False,False,False,False,False,False,
1179,India,India,Rather not say,True,True,False,True,False,False,False,False,False,False,True,
1180,India,India,Rather not say,False,False,False,True,True,False,False,False,False,False,True,jsf
1181,Canada,Canada,"$100,000 - $120,000",False,False,True,False,True,True,False,False,False,True,True,
1182,United States,United States,"$60,000 - $80,000",False,False,False,False,True,False,False,False,True,False,True,
1183,India,India,"<$20,000",True,False,False,True,False,False,False,False,False,False,False,
1184,India,India,"<$20,000",False,False,True,False,True,False,False,False,False,False,False,
1185,Bangladesh,Bangladesh,"<$20,000",False,False,False,False,True,False,True,True,False,False,True,
1186,India,India,"$20,000 - $40,000",False,False,False,False,False,False,False,True,False,False,True,
1187,India,India,"$20,000 - $40,000",False,False,False,False,True,False,False,False,False,True,False,CoffeeScript
1188,India,India,Rather not say,True,True,False,True,True,False,False,False,False,False,False,
1189,United States,United States,Student / Unemployed,True,True,False,False,True,False,True,True,False,False,True,
1190,India,India,Rather not say,False,False,False,False,False,False,True,False,False,False,False,
1191,India,India,Rather not say,False,False,False,False,False,False,False,False,False,False,False,Scripting
1192,Israel,Israel,,True,False,False,True,False,False,True,False,False,False,True,
1193,United Kingdom,United Kingdom,"<$20,000",True,False,True,True,True,False,False,False,False,False,True,
1194,India,India,,False,False,False,True,False,False,False,False,False,False,False,
1195,United States,United States,"$40,000 - $60,000",True,False,False,False,False,False,True,True,False,True,True,
1196,Norway,Norway,"$80,000 - $100,000",False,True,False,False,True,True,False,True,False,False,True,
1197,Bangladesh,Bangladesh,,False,False,False,True,True,False,False,False,True,False,True,
1198,United Arab Emirates,United Arab Emirates,"$40,000 - $60,000",False,False,True,False,True,False,False,False,False,False,False,
1199,South Africa,South Africa,Rather not say,False,False,False,True,False,False,False,False,False,False,True,
1200,United States,United States,"$100,000 - $120,000",False,True,False,False,False,False,False,False,False,False,False,
1201,India,India,,False,False,False,False,False,False,False,False,False,False,False,
1202,India,India,Student / Unemployed,True,True,False,False,True,True,False,True,False,False,True,
1203,United States,United States,Rather not say,False,False,True,False,True,False,False,False,False,False,True,
1204,India,India,"<$20,000",False,False,False,True,False,False,False,False,False,False,False,
1205,Thailand,Thailand,Rather not say,False,True,False,False,False,False,True,False,False,False,False,
1206,Singapore,Singapore,"$100,000 - $120,000",False,False,False,False,False,False,False,False,False,False,True,
1207,India,India,"<$20,000",True,True,False,False,False,False,True,False,False,False,True,
1208,Australia,Australia,">$140,000",False,False,False,True,True,True,False,False,False,False,True,"Perl, JQuery, Velocity"
1209,Singapore,Singapore,"$40,000 - $60,000",False,False,False,True,True,True,False,False,False,False,True,
1210,India,India,"$60,000 - $80,000",False,False,False,True,True,False,False,True,False,True,True,
1211,India,India,"<$20,000",False,False,False,False,True,False,False,False,False,False,True,
1212,Lithuania,Lithuania,"$20,000 - $40,000",False,False,False,True,True,False,False,True,False,True,False,
1213,India,India,"<$20,000",True,False,False,False,True,False,False,False,True,False,False,Go
1214,Thailand,Thailand,"$20,000 - $40,000",False,False,True,False,False,False,False,False,False,False,True,T-SQL
1215,Iran,Iran,,True,True,True,False,True,False,False,True,False,False,False,
1216,United States,United States,"$80,000 - $100,000",False,False,False,True,True,False,False,False,False,False,True,
1217,India,India,"<$20,000",True,False,True,False,True,False,True,False,True,False,True,Perl
1218,India,India,"$60,000 - $80,000",False,False,False,False,False,False,False,False,False,False,False,
1219,United States,United States,"$120,000 - $140,000",False,True,True,False,True,False,False,False,False,False,False,
1220,United States,United States,Student / Unemployed,False,False,True,True,True,False,False,True,False,False,True,
1221,Singapore,Singapore,,False,False,False,False,False,False,False,False,False,False,False,
1222,United States,United States,"$40,000 - $60,000",False,False,True,False,True,False,False,True,False,False,True,
1223,India,India,"<$20,000",True,True,True,False,False,False,False,False,False,True,True,
1224,United States,United States,,True,True,False,True,False,False,False,False,False,False,True,
1225,Malaysia,Malaysia,,False,False,False,True,True,False,False,True,False,False,False,PERL
1226,India,India,Rather not say,False,False,True,False,True,False,False,False,False,False,True,
1227,Australia,Australia,">$140,000",False,False,True,False,True,False,False,False,False,False,True,
1228,Canada,Canada,"<$20,000",False,True,False,False,True,False,False,False,True,False,True,
1229,Algeria,Algeria,,False,False,False,False,False,False,False,False,False,False,False,
1230,Bangladesh,Bangladesh,Rather not say,False,False,True,True,True,False,False,False,False,False,True,
1231,Algeria,Algeria,"<$20,000",False,False,True,False,False,False,False,False,False,False,False,
1232,United States,United States,Student / Unemployed,False,False,False,True,True,True,False,True,False,False,True,
1233,United States,United States,Student / Unemployed,False,True,True,False,False,False,False,False,False,False,False,
1234,United States,United States,"$100,000 - $120,000",False,False,True,False,True,False,False,False,False,False,True,
1235,United States,United States,"$60,000 - $80,000",False,False,True,True,True,False,False,True,False,True,True,
1236,India,India,,False,False,False,True,False,True,False,False,False,False,False,
1237,United States,United States,"$120,000 - $140,000",True,True,False,False,False,False,False,False,True,False,False,
1238,United States,United States,Student / Unemployed,False,True,True,False,True,False,False,True,True,False,True,
1239,United States,United States,"$100,000 - $120,000",False,False,False,False,True,False,False,False,True,True,True,Groovy
1240,Chile,Chile,"$40,000 - $60,000",False,False,False,False,True,True,False,True,True,False,True,
1241,China,China,"<$20,000",True,False,False,True,False,False,False,False,False,False,False,
1242,China,China,"<$20,000",False,False,False,False,True,True,False,False,True,True,False,
1243,India,India,,False,False,False,False,False,False,False,False,False,False,False,
1244,New Zealand,New Zealand,"$100,000 - $120,000",False,False,False,True,True,False,False,False,False,False,True,
1245,United Kingdom,United Kingdom,"$40,000 - $60,000",False,False,True,True,True,False,False,False,False,False,True,
1246,United States,United States,Rather not say,False,False,True,False,True,False,False,False,False,False,True,
1247,Argentina,Argentina,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,
1248,United States,United States,"$40,000 - $60,000",False,False,False,False,True,False,False,False,False,False,False,AngularJS
1249,United States,United States,Student / Unemployed,False,False,False,False,True,False,False,False,False,False,False,
1250,Venezuela,Venezuela,,False,False,False,True,False,False,False,True,False,False,True,
1251,United States,United States,Student / Unemployed,False,False,False,True,False,False,True,False,False,False,False,
1252,Germany,Germany,"$100,000 - $120,000",False,False,False,True,True,False,True,False,True,True,True,
1253,Canada,Canada,"$60,000 - $80,000",False,False,False,False,True,True,False,True,False,False,True,
1254,Australia,Australia,"$120,000 - $140,000",False,False,False,False,True,False,False,False,False,True,True,
1255,United Kingdom,United Kingdom,"$80,000 - $100,000",False,False,False,True,False,False,False,False,False,False,True,
1256,Austria,Austria,Rather not say,False,False,False,False,False,False,False,False,False,False,False,
1257,United States,United States,"$100,000 - $120,000",True,True,False,False,True,False,False,True,False,True,False,
1258,United States,United States,Student / Unemployed,False,False,False,False,False,False,False,False,False,False,False,
1259,Canada,Canada,Rather not say,False,True,False,False,False,False,False,False,True,False,False,
1260,Germany,Germany,"$40,000 - $60,000",True,False,True,False,True,False,False,False,False,False,True,Perl
1261,Canada,Canada,"$40,000 - $60,000",False,False,False,False,True,False,False,False,False,True,False,
1262,Sweden,Sweden,Rather not say,False,False,False,False,False,False,False,False,False,False,False,
1263,Ecuador,Ecuador,"$20,000 - $40,000",False,False,False,False,True,False,False,False,True,False,True,
1264,Germany,Germany,Student / Unemployed,False,False,False,False,True,True,False,True,False,False,True,
1265,United States,United States,"$60,000 - $80,000",False,False,False,True,True,False,False,False,False,False,False,Scala
1266,Austria,Austria,Rather not say,False,False,False,True,False,False,False,False,False,False,False,Scala
1267,United States,United States,Rather not say,False,False,True,False,True,False,False,False,False,False,True,
1268,United States,United States,Student / Unemployed,False,False,False,True,False,False,False,False,False,False,False,
1269,Israel,Israel,"$40,000 - $60,000",True,True,False,False,True,False,False,False,True,False,False,
1270,France,France,Rather not say,False,True,False,False,False,False,False,False,True,False,False,
1271,United States,United States,Student / Unemployed,False,False,False,False,False,False,True,False,False,False,False,
1272,Australia,Australia,"$60,000 - $80,000",False,False,True,False,True,True,False,False,False,False,True,
1273,United States,United States,"$60,000 - $80,000",False,True,True,True,True,False,True,False,True,False,True,
1274,United States,United States,Student / Unemployed,False,False,False,False,False,False,False,False,False,True,False,
1275,Greece,Greece,"<$20,000",False,False,False,True,True,False,False,True,False,False,True,
1276,Germany,Germany,"$60,000 - $80,000",False,False,False,False,True,True,False,False,False,True,True,"NoSQL (Redis, MongoDB)"
1277,United States,United States,Student / Unemployed,True,True,False,False,True,False,False,True,True,True,True,
1278,United States,United States,"$80,000 - $100,000",False,False,False,False,True,True,False,True,False,False,True,
1279,Italy,Italy,"$20,000 - $40,000",False,False,True,False,False,False,False,True,False,False,True,
1280,Canada,Canada,"$40,000 - $60,000",False,False,False,True,True,False,False,True,True,False,True,
1281,Switzerland,Switzerland,"$80,000 - $100,000",False,False,True,True,True,True,True,True,True,True,True,
1282,United States,United States,"$60,000 - $80,000",False,False,True,False,True,False,False,False,False,False,True,
1283,Costa Rica,Costa Rica,"$20,000 - $40,000",False,False,True,False,True,True,False,False,False,False,True,
1284,United States,United States,Student / Unemployed,True,True,True,True,False,False,True,False,False,False,True,
1285,United States,United States,"<$20,000",False,False,False,False,False,False,True,False,True,False,False,
1286,Belarus,Belarus,"$20,000 - $40,000",False,False,True,False,True,False,False,False,False,False,True,
1287,Norway,Norway,"$100,000 - $120,000",False,False,False,False,False,False,False,True,False,False,False,
1288,Germany,Germany,Student / Unemployed,False,True,False,True,False,False,False,True,False,False,True,
1289,United States,United States,"$120,000 - $140,000",False,False,True,False,True,False,False,False,False,False,True,"CSS, SVG"
1290,United States,United States,"$80,000 - $100,000",False,False,True,False,True,False,False,False,False,False,True,
1291,Egypt,Egypt,,False,False,False,False,False,False,False,False,False,False,False,
1292,Australia,Australia,"$40,000 - $60,000",False,False,False,True,True,False,False,False,False,False,True,PowerShell
1293,Israel,Israel,Student / Unemployed,False,True,False,False,False,False,False,False,True,False,True,
1294,Colombia,Colombia,Rather not say,True,True,True,True,True,True,False,True,False,False,True,
1295,United States,United States,Rather not say,False,False,True,False,False,False,False,False,False,False,False,
1296,Czech Republic,Czech Republic,Rather not say,True,True,True,False,True,False,False,False,False,False,True,
1297,Ukraine,Ukraine,"$20,000 - $40,000",False,False,True,False,True,False,False,False,False,False,True,
1298,Germany,Germany,Student / Unemployed,True,True,False,False,True,False,False,False,False,False,False,
1299,El Salvador,El Salvador,"<$20,000",False,False,True,False,True,False,False,True,False,False,True,
1300,United States,United States,Rather not say,True,False,False,False,False,False,False,False,False,False,False,
1301,Uruguay,Uruguay,"$20,000 - $40,000",False,False,True,True,True,False,True,False,False,False,False,
1302,United States,United States,"$80,000 - $100,000",False,False,True,False,True,False,False,False,False,False,True,
1303,Israel,Israel,"$40,000 - $60,000",False,False,True,False,True,False,False,False,False,False,True,
1304,United States,United States,"$60,000 - $80,000",False,False,False,False,True,False,False,False,True,False,True,
